SnapShotDate,Side,Region,Country,Currency,Exchange,Sector,TargetQtyValue,TargetQty,TargetValueTotal,TargetValue,ExecQtyTotal,ExecQty,ExecValueTotal,ExecValue,UnorderedQty,UnorderedValue,PctExecQty,PctExecValue
20230622,SELL,EMEA,SINZ,USD,XNZE,Food,0.31613980971777644,53,0.15042511784005497,0.39638480902272333,1,36,0.7568854273736314,0.8280068504409425,15,0.9371576908967229,34.174289874788144,93.71221872634118
20231116,SELL,SINGHA,US,EUR,XNZE,Health,0.6340665498667382,85,0.7501040385168279,0.3752440153633234,49,87,0.029174833708382475,0.9684598682765383,61,0.15127770396316798,90.41074689227703,28.140530559465592
20230613,BUY,SINGHA,HK,NZD,NYSE,Food,0.0006049983826542649,79,0.691751367260794,0.8651386830350103,91,23,0.34383320482738644,0.6043822263967467,67,0.25960520187659,73.55769217451466,30.14944600164261
20231026,SSE,AMS,US,USD,BSE,Health,0.6448525260197328,13,0.00507891763410917,0.6329509623751741,73,75,0.6015279040670428,0.3818439354144353,22,0.33490797314368215,83.77803247853743,70.08893336656139
20230117,SELL,EMEA,PAK,INR,BSE,Food,0.36483895584868486,53,0.3350149448326978,0.5631472920498111,89,49,0.47687345491151356,0.3391132217982731,12,0.6506518477717045,97.36616376681975,61.849266428613035
20230812,SELL,APAC,NZ,INR,NSE,IT,0.6238352474045424,82,0.17498241942347004,0.7514613669101902,73,56,0.8318229465159813,0.3133206341655277,75,0.3715768355715324,73.11782563060864,87.08190501007726
20231027,SELL,SINGHA,PAK,USD,NYSE,Food,0.041098697435596576,5,0.7388764648948171,0.856264225649386,36,70,0.27949151674167083,0.9892876804831816,34,0.09512196028063558,37.16218762604016,73.00873066354616
20231126,BUY,APAC,AUS,NZD,XHKO,Health,0.3875574022262095,92,0.3802309130238547,0.6316563730922307,43,68,0.20116526007640356,0.6224556102690137,39,0.9944049584972291,21.324139357028915,56.68135308439584
20230410,SSE,APAC,IND,USD,NYSE,Construction,0.2076398051197058,57,0.8920089309419018,0.7424567856896384,99,38,0.08039915117901397,0.650204510531104,98,0.8370318655690095,91.45284853422766,32.25122825166215
20230522,BUY,EMEA,NZ,EUR,XHKO,IT,0.40055081084333155,95,0.45457900763813064,0.012716757539859014,51,78,0.3516292000874721,0.3917130532753088,1,0.3139730741869262,84.79729080799983,62.99419230856975
20230114,BUY,SINGHA,US,USD,NYSE,Construction,0.6672235183593517,99,0.30352573243576064,0.9665623752014346,99,74,0.8938897720146703,0.04176211410657249,52,0.1628714174844108,48.9967392028046,70.01968808491755
20230123,SELL,EMEA,NZ,INR,NSE,Construction,0.8013865147729293,74,0.5682916184722764,0.7139476149339936,93,91,0.7393696226216662,0.19442456611375125,61,0.17890539297732044,25.070002437617276,11.716791996525156
20230910,SSE,EMEA,US,USD,BSE,Health,0.06514967365205038,18,0.45546371623633075,0.22617180936051728,21,14,0.8526224102930265,0.4787614678667299,49,0.4302647825820137,80.70169994244192,91.68887544236853
20231229,SSE,APAC,HK,INR,XHKO,IT,0.18256991271394785,54,0.17338223730034386,0.2277071488662431,98,83,0.5916107964277697,0.8576973535784471,75,0.7822986400947401,38.156911555885195,48.257414848616776
20230305,SELL,AMS,NZ,JPY,NYSE,IT,0.5426633806805117,70,0.49977653286160717,0.5714541892396129,70,85,0.7955451380904002,0.4907039868193609,69,0.3257473541649414,0.7799809316763939,47.34948836503221
20231204,BUY,AMS,AUS,EUR,NSE,Food,0.11082133068868716,76,0.5512352680324633,0.3179401282409855,74,5,0.3142671351349683,0.809878714154197,58,0.19927117634316815,73.62057672236726,45.19986577392285
20230627,BUY,EMEA,AUS,NZD,BSE,Food,0.12169017003958427,23,0.6284128171794623,0.563602586451611,65,47,0.3190076327243653,0.8591291478468974,47,0.5779777165012662,58.26403302504065,33.823067232225476
20230721,BUY,SINGHA,AUS,INR,BSE,IT,0.33603363305670375,21,0.4974166030942334,0.9546054419901606,31,25,0.46754018171176037,0.2541158938822734,10,0.7146555656724372,82.32765790347705,79.8429965011101
20230916,SELL,AMS,NZ,USD,NYSE,Food,0.349554991678949,85,0.5778217727917854,0.8151886841189261,36,51,0.32907573554575276,0.10882180954360277,10,0.08807305452490588,29.865234011316353,72.89304504649317
20230708,SSE,EMEA,IND,EUR,XHKO,Food,0.8792423551085945,53,0.4987013768892097,0.8269376373781887,74,29,0.9893477629262772,0.3523807935930007,15,0.3352761197813531,40.55946272755676,47.2346262481559
20230614,SELL,SINGHA,NZ,EUR,NSE,Construction,0.18776041740586502,49,0.09171622368429999,0.7650997291947227,81,90,0.7952794125423982,0.7290772325192062,68,0.27361072698814703,26.39587051265665,80.08090372205362
20230508,SELL,EMEA,PAK,JPY,NYSE,IT,0.20480207154262375,89,0.9596810064269496,0.9230571304450457,34,17,0.08753754773825406,0.06952475414397097,69,0.5714240231117077,84.6905157008392,50.03790992255415
20230706,BUY,APAC,HK,INR,XHKO,Construction,0.8903397146914032,13,0.6429614526616072,0.9584534835202264,61,50,0.29632615301873566,0.9661137450954062,2,0.9175111833597446,49.77243451202803,46.042280589908
